,date,code,name,status,holding_nav,holding_volume,holding_money,total_fee,holding_gain,history_gain
0,2020-02-04,000478,建信中证500指数增强A,买入后,1.9178,1564.33,3000.0,4.5,0.0,0.0
1,2020-02-04,162411,华宝标普石油指数A,买入后,0.3879,7734.05,3000.0,4.5,0.0,0.0
2,2020-03-02,100032,富国中证红利指数增强A,分份额,0.973,3083.26,3000.0,4.5,0.0,0.0
3,2020-03-13,000614,华安德国30(DAX)联接,买入后,0.9766,2047.94,2000.0,2.4,0.0,0.0
4,2020-03-13,000071,华夏恒生ETF联接A,买入后,1.4046,1423.86,2000.0,2.4,0.0,0.0
5,2019-05-15,001051,华夏上证50ETF联接A,初始化,0.9441,1059.17,1000.0,1.2,0.0,0.0
6,2019-08-15,164906,交银中证海外中国互联网指数,初始化,1.1113,899.82,1000.0,1.2,0.0,0.0
7,2019-11-01,001052,华夏中证500ETF联接A,初始化,0.5517,1812.7,1000.0,1.2,0.0,0.0
8,2019-12-02,110027,易方达安心债券A,初始化,1.6793,595.47,1000.0,0.8,0.0,0.0
9,2020-02-26,001469,广发中证全指金融地产联接A,初始化,1.0907,916.83,1000.0,1.2,0.0,0.0
10,2020-03-09,501018,南方原油A,初始化,0.7171,1394.58,1000.0,1.2,0.0,0.0
11,2020-03-10,050025,博时标普500ETF联接A,初始化,2.2822,438.17,1000.0,1.2,0.0,0.0
12,2020-03-13,000216,华安黄金易ETF联接A,卖出后,1.0903,917.23,808.14,2.39,193.08,0.0
13,2020-03-09,004752,广发中证传媒ETF联接A,卖出后,0.815,822.11,651.66,2.95,20.08,0.0
