,date,code,name,status,holding_nav,holding_volume,holding_money,total_fee,holding_gain,history_gain,category1,category2,category3,categoryId
0,2019-12-04,510050,50ETF,分现,2.291,2700.0,6185.58,1.29,259.2,0.0,A 股,大盘股,上证50,111
1,2019-12-13,510300,300ETF,分现,3.385,9100.0,30804.57,6.36,1000.8,0.0,A 股,大盘股,沪深300,113
2,2019-11-05,159902,中 小 板,清仓,0.0,0.0,0.0,1.46,0.0,0.0,A 股,大盘股,中小板,117
3,2020-02-26,510500,500ETF,卖出,5.581,37600.0,209841.66,48.19,858.0,0.0,A 股,中小盘股,中证500,121
4,2019-07-22,512100,1000ETF,清仓,0.0,0.0,0.0,17.37,0.0,0.0,A 股,中小盘股,中证1000,123
5,2020-03-10,159915,创业板,清仓,0.0,0.0,0.0,6.39,0.0,0.0,A 股,中小盘股,创业板,124
6,2020-03-25,159938,广发医药,卖出,1.167,9600.0,11206.74,5.08,993.6,0.0,A 股,行业股,全指医药,142
7,2018-06-28,512580,环保ETF,买入,0.877,33800.0,29656.04,5.93,0.0,0.0,A 股,行业股,中证环保,143
8,2018-08-20,512980,传媒ETF,买入,0.869,34100.0,29621.13,5.93,0.0,0.0,A 股,行业股,中证传媒,144
9,2018-10-15,512880,证券ETF,买入,0.783,32700.0,25591.98,5.12,0.0,0.0,A 股,行业股,证券公司,145
10,2016-07-12,601939,建设银行,清仓,0.0,0.0,274.0,274.0,0.0,0.0,A 股,股票,股票,151
11,2015-11-11,000836,鑫茂科技,清仓,0.0,0.0,0.0,218.16,0.0,0.0,A 股,股票,股票,151
12,2015-10-27,600879,航天电子,清仓,0.0,0.0,0.0,16.11,0.0,0.0,A 股,股票,股票,151
13,2015-11-09,000017,深中华A,清仓,0.0,0.0,0.0,19.53,0.0,0.0,A 股,股票,股票,151
14,2016-01-08,600857,宁波中百,清仓,0.0,0.0,0.0,336.44,0.0,0.0,A 股,股票,股票,151
15,2016-01-08,600861,北京城乡,清仓,0.0,0.0,0.0,14.67,0.0,0.0,A 股,股票,股票,151
16,2016-01-08,000428,华天酒店,清仓,0.0,0.0,0.0,16.78,0.0,0.0,A 股,股票,股票,151
17,2017-11-24,159920,恒生ETF,清仓,0.0,0.0,0.0,28.28,0.0,0.0,海外新兴,香港,恒生,211
18,2017-05-25,510900,H股ETF,清仓,0.0,0.0,0.0,87.56,0.0,0.0,海外新兴,香港,国企,212
19,2016-11-16,511010,国债ETF,清仓,0.0,0.0,0.0,0.0,0.0,0.0,债券,国内债券,纯债,511
20,2020-03-13,518880,黄金ETF,卖出,2.268,2300.0,5216.93,4.1,1350.8,0.0,商品,商品,黄金,611
21,2018-05-21,162411,华宝油气,清仓,0.0,0.0,0.0,229.27,0.0,0.0,商品,商品,原油,613
22,2016-09-29,501018,南方原油,清仓,0.0,0.0,0.0,2.18,0.0,0.0,商品,商品,原油,613
